"","Codes","Description","unit","Periodicity","start","last value","source"
"4316","7035"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Total - Empresas estatais municipais"," %"," M"," 01/01/1996"," dez/2009"," BCB-Depec"
"4317","7036"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Total - Setor p?blico consolidado"," %"," M"," 31/01/1991"," dez/2009"," BCB-Depec"
"4318","7037"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Interna - Governo Federal e Banco Central"," %"," M"," 31/01/1991"," dez/2009"," BCB-Depec"
"4319","7038"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Interna - Governo Federal"," %"," M"," 31/01/1999"," dez/2009"," BCB-Depec"
"4320","7039"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Interna - Banco Central"," %"," M"," 31/01/1999"," dez/2009"," BCB-Depec"
"4321","7040"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Interna - Governos estaduais e municipais"," %"," M"," 31/01/1991"," dez/2009"," BCB-Depec"
"4322","7041"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Interna - Governos estaduais"," %"," M"," 31/01/1998"," dez/2009"," BCB-Depec"
"4323","7042"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Interna - Governos municipais"," %"," M"," 31/01/1998"," dez/2009"," BCB-Depec"
"4324","7043"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Interna - Empresas estatais"," %"," M"," 31/01/1991"," dez/2009"," BCB-Depec"
"4325","7044"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Interna - Empresas estatais federais"," %"," M"," 01/01/1996"," dez/2009"," BCB-Depec"
"4326","7045"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Interna - Empresas estatais estaduais"," %"," M"," 01/01/1996"," dez/2009"," BCB-Depec"
"4327","7046"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Interna - Empresas estatais municipais"," %"," M"," 01/01/1996"," dez/2009"," BCB-Depec"
"4328","7047"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Interna - Setor p?blico consolidado"," %"," M"," 31/01/1991"," dez/2009"," BCB-Depec"
"4329","7048"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Externa - Governo Federal e Banco Central"," %"," M"," 31/01/1991"," dez/2009"," BCB-Depec"
"4330","7049"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Externa - Governo Federal"," %"," M"," 31/01/1999"," dez/2009"," BCB-Depec"
"4331","7050"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Externa - Banco Central"," %"," M"," 31/01/1999"," dez/2009"," BCB-Depec"
"4332","7051"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Externa - Governos estaduais e municipais"," %"," M"," 31/01/1991"," dez/2009"," BCB-Depec"
"4333","7052"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Externa - Governos estaduais"," %"," M"," 31/01/1998"," dez/2009"," BCB-Depec"
"4334","7053"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Externa - Governos municipais"," %"," M"," 31/01/1998"," dez/2009"," BCB-Depec"
"4335","7054"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Externa - Empresas estatais"," %"," M"," 31/01/1991"," dez/2009"," BCB-Depec"
"4336","7055"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Externa - Empresas estatais federais"," %"," M"," 01/01/1996"," dez/2009"," BCB-Depec"
"4337","7056"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Externa - Empresas estatais estaduais"," %"," M"," 01/01/1996"," dez/2009"," BCB-Depec"
"4338","7057"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Externa - Empresas estatais municipais"," %"," M"," 01/01/1996"," dez/2009"," BCB-Depec"
"4339","7058"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado no ano (valorizado) - Juros reais - Externa - Setor p?blico consolidado"," %"," M"," 31/01/1991"," dez/2009"," BCB-Depec"
"4340","7059"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Total - Governo Federal e Banco Central"," %"," M"," 31/12/1991"," dez/2009"," BCB-Depec"
"4341","7060"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Total - Governo Federal"," %"," M"," 31/12/1999"," dez/2009"," BCB-Depec"
"4342","7061"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Total - Banco Central"," %"," M"," 31/12/1999"," dez/2009"," BCB-Depec"
"4343","7062"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Total - Governos estaduais e municipais"," %"," M"," 31/12/1991"," dez/2009"," BCB-Depec"
"4344","7063"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Total - Governos estaduais"," %"," M"," 31/12/1998"," dez/2009"," BCB-Depec"
"4345","7064"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Total - Governos municipais"," %"," M"," 31/12/1998"," dez/2009"," BCB-Depec"
"4346","7065"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Total - Empresas estatais"," %"," M"," 01/12/1991"," dez/2009"," BCB-Depec"
"4347","7066"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Total - Empresas estatais federais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4348","7067"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Total - Empresas estatais estaduais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4349","7068"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Total - Empresas estatais municipais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4350","7069"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Total - Setor p?blico consolidado"," %"," M"," 01/12/1991"," dez/2009"," BCB-Depec"
"4351","7070"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Interna - Governo Federal e Banco Central"," %"," M"," 31/12/1991"," dez/2009"," BCB-Depec"
"4352","7071"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Interna - Governo Federal"," %"," M"," 31/12/1999"," dez/2009"," BCB-Depec"
"4353","7072"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Interna - Banco Central"," %"," M"," 31/12/1999"," dez/2009"," BCB-Depec"
"4354","7073"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Interna - Governos estaduais e municipais"," %"," M"," 31/12/1991"," dez/2009"," BCB-Depec"
"4355","7074"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Interna - Governos estaduais"," %"," M"," 31/12/1998"," dez/2009"," BCB-Depec"
"4356","7075"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Interna - Governos municipais"," %"," M"," 31/12/1998"," dez/2009"," BCB-Depec"
"4357","7076"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Interna - Empresas estatais"," %"," M"," 01/12/1991"," dez/2009"," BCB-Depec"
"4358","7077"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Interna - Empresas estatais federais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4359","7078"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Interna - Empresas estatais estaduais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4360","7079"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Interna - Empresas estatais municipais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4361","7080"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Interna - Setor p?blico consolidado"," %"," M"," 01/12/1991"," dez/2009"," BCB-Depec"
"4362","7081"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Externa - Governo Federal e Banco Central"," %"," M"," 31/12/1991"," dez/2009"," BCB-Depec"
"4363","7082"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Externa - Governo Federal"," %"," M"," 31/12/1999"," dez/2009"," BCB-Depec"
"4364","7083"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Externa - Banco Central"," %"," M"," 31/12/1999"," dez/2009"," BCB-Depec"
"4365","7084"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Externa - Governos estaduais e municipais"," %"," M"," 31/12/1991"," dez/2009"," BCB-Depec"
"4366","7085"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Externa - Governos estaduais"," %"," M"," 31/12/1998"," dez/2009"," BCB-Depec"
"4367","7086"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Externa - Governos municipais"," %"," M"," 31/12/1998"," dez/2009"," BCB-Depec"
"4368","7087"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Externa - Empresas estatais"," %"," M"," 01/12/1991"," dez/2009"," BCB-Depec"
"4369","7088"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Externa - Empresas estatais federais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4370","7089"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Externa - Empresas estatais estaduais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4371","7090"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Externa - Empresas estatais municipais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4372","7091"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Externa - Setor p?blico consolidado"," %"," M"," 01/12/1991"," dez/2009"," BCB-Depec"
"4373","7092"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Total - Governo Federal e Banco Central"," %"," M"," 31/12/1991"," dez/2009"," BCB-Depec"
"4374","7093"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Total - Governo Federal"," %"," M"," 31/12/1999"," dez/2009"," BCB-Depec"
"4375","7094"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Total - Banco Central"," %"," M"," 31/12/1999"," dez/2009"," BCB-Depec"
"4376","7095"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Total - Governos estaduais e municipais"," %"," M"," 31/12/1991"," dez/2009"," BCB-Depec"
"4377","7096"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Total - Governos estaduais"," %"," M"," 31/12/1998"," dez/2009"," BCB-Depec"
"4378","7097"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Total - Governos municipais"," %"," M"," 31/12/1998"," dez/2009"," BCB-Depec"
"4379","7098"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Total - Empresas estatais"," %"," M"," 01/12/1991"," dez/2009"," BCB-Depec"
"4380","7099"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Total - Empresas estatais federais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4381","7100"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Total - Empresas estatais estaduais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4382","7101"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Total - Empresas estatais municipais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4383","7102"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Total - Setor p?blico consolidado"," %"," M"," 01/12/1991"," dez/2009"," BCB-Depec"
"4384","7103"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Interna - Governo Federal e Banco Central"," %"," M"," 31/12/1991"," dez/2009"," BCB-Depec"
"4385","7104"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Interna - Governo Federal"," %"," M"," 31/12/1999"," dez/2009"," BCB-Depec"
"4386","7105"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Interna - Banco Central"," %"," M"," 31/12/1999"," dez/2009"," BCB-Depec"
"4387","7106"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Interna - Governos estaduais e municipais"," %"," M"," 31/12/1991"," dez/2009"," BCB-Depec"
"4388","7107"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Interna - Governos estaduais"," %"," M"," 31/12/1998"," dez/2009"," BCB-Depec"
"4389","7108"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Interna - Governos municipais"," %"," M"," 31/12/1998"," dez/2009"," BCB-Depec"
"4390","7109"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Interna - Empresas estatais"," %"," M"," 01/12/1991"," dez/2009"," BCB-Depec"
"4391","7110"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Interna - Empresas estatais federais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4392","7111"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Interna - Empresas estatais estaduais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4393","7112"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Interna - Empresas estatais municipais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4394","7113"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Interna - Setor p?blico consolidado"," %"," M"," 01/12/1991"," dez/2009"," BCB-Depec"
"4395","7114"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Externa - Governo Federal e Banco Central"," %"," M"," 31/12/1991"," dez/2009"," BCB-Depec"
"4396","7115"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Externa - Governo Federal"," %"," M"," 31/12/1999"," dez/2009"," BCB-Depec"
"4397","7116"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Externa - Banco Central"," %"," M"," 31/12/1999"," dez/2009"," BCB-Depec"
"4398","7117"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Externa - Governos estaduais e municipais"," %"," M"," 31/12/1991"," dez/2009"," BCB-Depec"
"4399","7118"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Externa - Governos estaduais"," %"," M"," 31/12/1998"," dez/2009"," BCB-Depec"
"4400","7119"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Externa - Governos municipais"," %"," M"," 31/12/1998"," dez/2009"," BCB-Depec"
"4401","7120"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Externa - Empresas estatais"," %"," M"," 01/12/1991"," dez/2009"," BCB-Depec"
"4402","7121"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Externa - Empresas estatais federais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4403","7122"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Externa - Empresas estatais estaduais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4404","7123"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Externa - Empresas estatais municipais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4405","7124"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros nominais - Externa - Setor p?blico consolidado"," %"," M"," 01/12/1991"," dez/2009"," BCB-Depec"
"4406","7125"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Total - Governo Federal e Banco Central"," %"," M"," 31/12/1991"," dez/2009"," BCB-Depec"
"4407","7126"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Total - Governo Federal"," %"," M"," 31/12/1999"," dez/2009"," BCB-Depec"
"4408","7127"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Total - Banco Central"," %"," M"," 31/12/1999"," dez/2009"," BCB-Depec"
"4409","7128"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Total - Governos estaduais e municipais"," %"," M"," 31/12/1991"," dez/2009"," BCB-Depec"
"4410","7129"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Total - Governos estaduais"," %"," M"," 31/12/1998"," dez/2009"," BCB-Depec"
"4411","7130"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Total - Governos municipais"," %"," M"," 31/12/1998"," dez/2009"," BCB-Depec"
"4412","7131"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Total - Empresas estatais"," %"," M"," 01/12/1991"," dez/2009"," BCB-Depec"
"4413","7132"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Total - Empresas estatais federais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4414","7133"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Total - Empresas estatais estaduais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4415","7134"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Total - Empresas estatais municipais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4416","7135"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Total - Setor p?blico consolidado"," %"," M"," 01/12/1991"," dez/2009"," BCB-Depec"
"4417","7136"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Interna - Governo Federal e Banco Central"," %"," M"," 31/12/1991"," dez/2009"," BCB-Depec"
"4418","7137"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Interna - Governo Federal"," %"," M"," 31/12/1999"," dez/2009"," BCB-Depec"
"4419","7138"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Interna - Banco Central"," %"," M"," 31/12/1999"," dez/2009"," BCB-Depec"
"4420","7139"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Interna - Governos estaduais e municipais"," %"," M"," 31/12/1991"," dez/2009"," BCB-Depec"
"4421","7140"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Interna - Governos estaduais"," %"," M"," 31/12/1998"," dez/2009"," BCB-Depec"
"4422","7141"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Interna - Governos municipais"," %"," M"," 31/12/1998"," dez/2009"," BCB-Depec"
"4423","7142"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Interna - Empresas estatais"," %"," M"," 01/12/1991"," dez/2009"," BCB-Depec"
"4424","7143"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Interna - Empresas estatais federais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4425","7144"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Interna - Empresas estatais estaduais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4426","7145"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Interna - Empresas estatais municipais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4427","7146"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Interna - Setor p?blico consolidado"," %"," M"," 01/12/1991"," dez/2009"," BCB-Depec"
"4428","7147"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Externa - Governo Federal e Banco Central"," %"," M"," 31/12/1991"," dez/2009"," BCB-Depec"
"4429","7148"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Externa - Governo Federal"," %"," M"," 31/12/1999"," dez/2009"," BCB-Depec"
"4430","7149"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Externa - Banco Central"," %"," M"," 31/12/1999"," dez/2009"," BCB-Depec"
"4431","7150"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Externa - Governos estaduais e municipais"," %"," M"," 31/12/1991"," dez/2009"," BCB-Depec"
"4432","7151"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Externa - Governos estaduais"," %"," M"," 31/12/1998"," dez/2009"," BCB-Depec"
"4433","7152"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Externa - Governos municipais"," %"," M"," 31/12/1998"," dez/2009"," BCB-Depec"
"4434","7153"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Externa - Empresas estatais"," %"," M"," 01/12/1991"," dez/2009"," BCB-Depec"
"4435","7154"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Externa - Empresas estatais federais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4436","7155"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Externa - Empresas estatais estaduais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4437","7156"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Externa - Empresas estatais municipais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4438","7157"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado operacional - Externa - Setor p?blico consolidado"," %"," M"," 01/12/1991"," dez/2009"," BCB-Depec"
"4439","7158"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros reais - Total - Governo Federal e Banco Central"," %"," M"," 31/12/1991"," dez/2009"," BCB-Depec"
"4440","7159"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros reais - Total - Governo Federal"," %"," M"," 31/12/1999"," dez/2009"," BCB-Depec"
"4441","7160"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros reais - Total - Banco Central"," %"," M"," 31/12/1999"," dez/2009"," BCB-Depec"
"4442","7161"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros reais - Total - Governos estaduais e municipais"," %"," M"," 31/12/1991"," dez/2009"," BCB-Depec"
"4443","7162"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros reais - Total - Governos estaduais"," %"," M"," 01/12/1998"," dez/2009"," BCB-Depec"
"4444","7163"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros reais - Total - Governos municipais"," %"," M"," 01/12/1998"," dez/2009"," BCB-Depec"
"4445","7164"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros reais - Total - Empresas estatais"," %"," M"," 01/12/1991"," dez/2009"," BCB-Depec"
"4446","7165"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros reais - Total - Empresas estatais federais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4447","7166"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros reais - Total - Empresas estatais estaduais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4448","7167"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros reais - Total - Empresas estatais municipais"," %"," M"," 01/12/1996"," dez/2009"," BCB-Depec"
"4449","7168"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros reais - Total - Setor p?blico consolidado"," %"," M"," 01/12/1991"," dez/2009"," BCB-Depec"
"4450","7169"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros reais - Interna - Governo Federal e Banco Central"," %"," M"," 31/12/1991"," dez/2009"," BCB-Depec"
"4451","7170"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros reais - Interna - Governo Federal"," %"," M"," 31/12/1999"," dez/2009"," BCB-Depec"
"4452","7171"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros reais - Interna - Banco Central"," %"," M"," 31/12/1999"," dez/2009"," BCB-Depec"
"4453","7172"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros reais - Interna - Governos estaduais e municipais"," %"," M"," 31/12/1991"," dez/2009"," BCB-Depec"
"4454","7173"," NFSP com desvaloriza??o cambial (% PIB) - Fluxo acumulado em 12 meses - Juros reais - Interna - Governos estaduais"," %"," M"," 31/12/1998"," dez/2009"," BCB-Depec"
