"","x"
"1",91.3898363152709
"2",91.057127911749
"3",91.3423065433392
"4",91.1997172275441
"5",91.1997172275441
"6",91.7700744907245
"7",91.2472469994758
"8",91.4373660872026
"9",91.5799554029977
"10",91.4848958591343
"11",91.7700744907245
"12",91.2947767714075
"13",91.532425631066
"14",91.3898363152709
"15",92.007723350383
"16",91.9601935784513
"17",92.4354912977683
"18",93.5286760521974
"19",92.8157294732219
"20",91.7700744907245
"21",92.9107890170853
"22",92.1503126661781
"23",91.6750149468611
"24",92.4830210697
"25",91.6274851749294
"26",91.3898363152709
"27",91.9601935784513
"28",91.532425631066
"29",91.6750149468611
"30",91.6750149468611
"31",91.8651340345879
"32",92.007723350383
"33",91.9126638065196
"34",91.8176042626562
"35",91.7225447187928
"36",92.3879615258366
"37",92.007723350383
"38",91.7225447187928
"39",91.7700744907245
"40",91.532425631066
"41",92.0552531223147
"42",91.4373660872026
"43",91.5799554029977
"44",91.8651340345879
"45",91.2947767714075
"46",91.7225447187928
"47",91.532425631066
"48",91.4848958591343
"49",91.4848958591343
"50",91.3423065433392
"51",92.0552531223147
"52",91.5799554029977
"53",91.4848958591343
"54",91.2947767714075
"55",91.4373660872026
"56",91.057127911749
"57",91.4373660872026
"58",91.4373660872026
"59",91.4848958591343
"60",91.6274851749294
"61",91.532425631066
"62",91.3423065433392
"63",91.3423065433392
"64",91.8176042626562
"65",92.007723350383
"66",91.7225447187928
"67",91.7700744907245
"68",92.007723350383
"69",91.5799554029977
"70",91.7700744907245
"71",91.9601935784513
"72",91.2947767714075
"73",91.2947767714075
"74",91.1997172275441
"75",91.1997172275441
"76",91.2472469994758
"77",91.7700744907245
"78",91.4373660872026
"79",91.532425631066
"80",91.4373660872026
"81",91.4373660872026
"82",91.6274851749294
"83",91.4848958591343
"84",91.6274851749294
"85",91.2947767714075
"86",91.4848958591343
"87",91.3423065433392
"88",91.3423065433392
"89",91.4848958591343
"90",94.2891524031046
"91",95.5249264733287
"92",101.085909789337
"93",98.6618914208209
"94",97.5211768944601
"95",97.5211768944601
"96",96.5705814558261
"97",107.787607631707
"98",99.9927250349084
"99",105.316059491259
"100",102.369213631493
"101",99.7550761752499
"102",102.179094543767
"103",101.846386140245
"104",100.753201385816
"105",121.808890351558
"106",148.948390124558
"107",133.928982194141
"108",127.17975457984
"109",127.037165264045
"110",128.415528650064
"111",132.598148580054
"112",120.240407877812
"113",116.010258175891
"114",116.81826429873
"115",118.529336088271
"116",113.015882544194
"117",117.341091789978
"118",111.685048930106
"119",114.774484105667
"120",108.595613754546
"121",110.639393947609
"122",105.981476298302
"123",103.082160210469
"124",102.939570894674
"125",112.207876421355
"126",106.219125157961
"127",101.513677736723
"128",101.038380017406
"129",101.228499105133
"130",102.084034999903
"131",106.029006070234
"132",103.462398385922
"133",105.553708350917
"134",102.369213631493
"135",106.456774017619
"136",101.371088420928
"137",99.9451952629767
"138",101.608737280586
"139",101.180969333201
"140",114.204126842486
"141",110.544334403746
"142",110.639393947609
"143",111.732578702038
"144",106.837012193073
"145",102.226624315698
"146",98.8520105085476
"147",100.420492982294
"148",99.5174273155914
"149",102.701922035015
"150",108.120316035229
"151",106.456774017619
"152",104.175344964898
"153",104.888291543873
"154",104.127815192966
"155",104.840761771942
"156",102.416743403425
"157",102.369213631493
"158",99.5174273155914
"159",101.561207508654
"160",103.129689982401
"161",101.893915912176
"162",103.557457929786
"163",103.272279298196
"164",101.941445684108
"165",100.563082298089
"166",102.226624315698
"167",99.0421295962744
"168",100.087784578772
"169",100.32543343843
"170",101.70379682445
"171",105.411119035122
"172",101.846386140245
"173",102.701922035015
"174",100.372963210362
"175",101.98897545604
"176",102.796981578879
"177",104.412993824556
"178",104.555583140352
"179",103.034630438537
"180",102.179094543767
"181",105.125940403532
"182",106.314184701824
"183",113.301061175784
"184",104.032755649103
"185",105.743827438644
"186",104.50805336842
"187",111.970227561697
"188",119.147223123383
"189",117.436151333842
"190",113.110942088057
"191",108.880792386136
"192",114.631894789872
"193",109.308560333521
"194",107.074661052732
"195",112.873293228399
"196",113.206001631921
