"","data","valor","serie"
"113",2005-04-07," 3.666160e+06","1256"
"114",2006-04-07," 2.898721e+06","1256"
"115",2007-04-07," 4.110822e+06","1256"
"116",2008-04-07," 3.983181e+06","1256"
"117",2009-04-07," 2.897542e+06","1256"
"118",2010-04-07," 2.949845e+06","1256"
"119",2011-04-07," 5.070717e+06","1256"
"120",2012-04-07," 4.969064e+06","1256"
"121",1990-04-07," 1.383250e+05","1257"
"122",1991-04-07," 1.405480e+05","1257"
"123",1992-04-07," 1.721720e+05","1257"
"124",1993-04-07," 1.515440e+05","1257"
"125",1994-04-07," 1.602300e+05","1257"
"126",1995-04-07," 1.701290e+05","1257"
"127",1996-04-07," 1.542780e+05","1257"
"128",1997-04-07," 1.412550e+05","1257"
"129",1998-04-07," 1.931540e+05","1257"
"130",1999-04-07," 1.794210e+05","1257"
"131",2000-04-07," 1.878900e+05","1257"
"132",2001-04-07," 2.017630e+05","1257"
"133",2002-04-07," 1.952840e+05","1257"
"134",2003-04-07," 1.877190e+05","1257"
"135",2004-04-07," 2.364880e+05","1257"
"136",2005-04-07," 3.152390e+05","1257"
"137",2006-04-07," 2.499160e+05","1257"
"138",2007-04-07," 2.634400e+05","1257"
"139",2008-04-07," 3.128020e+05","1257"
"140",2009-04-07," 2.556620e+05","1257"
"141",2010-04-07," 2.614550e+05","1257"
"142",2011-04-07," 3.114090e+05","1257"
"143",2012-04-07," 3.342240e+05","1257"
"144",1990-04-07," 7.420931e+06","1258"
"145",1991-04-07," 9.488007e+06","1258"
"146",1992-04-07," 1.000629e+07","1258"
"147",1993-04-07," 1.010731e+07","1258"
"148",1994-04-07," 1.054079e+07","1258"
"149",1995-04-07," 1.122606e+07","1258"
"150",1996-04-07," 8.652328e+06","1258"
"151",1997-04-07," 8.351665e+06","1258"
"152",1998-04-07," 7.716090e+06","1258"
"153",1999-04-07," 1.170969e+07","1258"
"154",2000-04-07," 1.113459e+07","1258"
"155",2001-04-07," 1.018418e+07","1258"
"156",2002-04-07," 1.044599e+07","1258"
"157",2003-04-07," 1.033460e+07","1258"
"158",2004-04-07," 1.327701e+07","1258"
"159",2005-04-07," 1.319286e+07","1258"
"160",2006-04-07," 1.152668e+07","1258"
"161",2007-04-07," 1.106074e+07","1258"
"162",2008-04-07," 1.206146e+07","1258"
"163",2009-04-07," 1.265114e+07","1258"
"164",2010-04-07," 1.123599e+07","1258"
"165",2011-04-07," 1.347699e+07","1258"
"166",2012-04-07," 1.154988e+07","1258"
"167",1990-04-07," 5.505610e+05","1259"
"168",1991-04-07," 5.540520e+05","1259"
"169",1992-04-07," 5.623580e+05","1259"
"170",1993-04-07," 5.579800e+05","1259"
"171",1994-04-07," 5.726190e+05","1259"
"172",1995-04-07," 5.577990e+05","1259"
"173",1996-04-07," 4.961710e+05","1259"
"174",1997-04-07," 5.412360e+05","1259"
"175",1998-04-07," 5.322200e+05","1259"
"176",1999-04-07," 5.478350e+05","1259"
"177",2000-04-07," 5.663360e+05","1259"
"178",2001-04-07," 6.177293e+06","1259"
"179",2002-04-07," 6.689179e+06","1259"
"180",2003-04-07," 6.800981e+06","1259"
"181",2004-04-07," 6.583564e+06","1259"
"182",2005-04-07," 6.703400e+06","1259"
"183",2006-04-07," 6.956179e+06","1259"
"184",2007-04-07," 7.098353e+06","1259"
"185",2008-04-07," 6.998150e+06","1259"
"186",2009-04-07," 6.783490e+06","1259"
"187",2010-04-07," 6.969306e+06","1259"
"188",2011-04-07," 7.329471e+06","1259"
"189",2012-04-07," 6.902184e+06","1259"
"190",1990-04-07," 2.233721e+06","1260"
"191",1991-04-07," 2.267035e+06","1260"
"192",1992-04-07," 2.432073e+06","1260"
"193",1993-04-07," 2.367571e+06","1260"
"194",1994-04-07," 2.488461e+06","1260"
"195",1995-04-07," 2.692234e+06","1260"
"196",1996-04-07," 2.412546e+06","1260"
"197",1997-04-07," 2.670493e+06","1260"
"198",1998-04-07," 2.784181e+06","1260"
"199",1999-04-07," 2.904950e+06","1260"
"200",2000-04-07," 2.606932e+06","1260"
"201",2001-04-07," 2.848664e+06","1260"
"202",2002-04-07," 3.126411e+06","1260"
"203",2003-04-07," 3.089016e+06","1260"
"204",2004-04-07," 3.047083e+06","1260"
"205",2005-04-07," 3.130174e+06","1260"
"206",2006-04-07," 3.151721e+06","1260"
"207",2007-04-07," 3.550511e+06","1260"
"208",2008-04-07," 3.676938e+06","1260"
"209",2009-04-07," 3.443712e+06","1260"
"210",2010-04-07," 3.547510e+06","1260"
"211",2011-04-07," 3.917234e+06","1260"
"212",2012-04-07," 3.731798e+06","1260"
"213",1990-04-07," 3.562460e+05","1261"
"214",1991-04-07," 3.209670e+05","1261"
"215",1992-04-07," 3.285180e+05","1261"
"216",1993-04-07," 3.408850e+05","1261"
"217",1994-04-07," 3.305770e+05","1261"
"218",1995-04-07," 2.967050e+05","1261"
"219",1996-04-07," 2.567770e+05","1261"
"220",1997-04-07," 2.779660e+05","1261"
"221",1998-04-07," 2.808010e+05","1261"
"222",1999-04-07," 2.050030e+05","1261"
"223",2000-04-07," 1.967880e+05","1261"
"224",2001-04-07," 1.856620e+05","1261"
"225",2002-04-07," 1.747960e+05","1261"
"226",2003-04-07," 1.700040e+05","1261"
"227",2004-04-07," 1.960050e+05","1261"
"228",2005-04-07," 2.086200e+05","1261"
"229",2006-04-07," 2.122700e+05","1261"
"230",2007-04-07," 2.016510e+05","1261"
"231",2008-04-07," 2.020300e+05","1261"
"232",2009-04-07," 2.184870e+05","1261"
"233",2010-04-07," 2.353890e+05","1261"
"234",2011-04-07," 2.485240e+05","1261"
"235",2012-04-07," 2.532110e+05","1261"
"236",1990-04-07," 2.929711e+06","1262"
"237",1991-04-07," 3.040763e+06","1262"
"238",1992-04-07," 2.588745e+06","1262"
"239",1993-04-07," 2.557518e+06","1262"
"240",1994-04-07," 2.614578e+06","1262"
"241",1995-04-07," 1.860269e+06","1262"
"242",1996-04-07," 2.738391e+06","1262"
"243",1997-04-07," 2.457025e+06","1262"
"244",1998-04-07," 3.378731e+06","1262"
"245",1999-04-07," 3.263704e+06","1262"
"246",2000-04-07," 3.807124e+06","1262"
"247",2001-04-07," 3.639138e+06","1262"
"248",2002-04-07," 2.610524e+06","1262"
"249",2003-04-07," 1.987074e+06","1262"
"250",2004-04-07," 2.465710e+06","1262"
"251",2005-04-07," 2.140169e+06","1262"
"252",2006-04-07," 2.573368e+06","1262"
"253",2007-04-07," 2.249011e+06","1262"
"254",2008-04-07," 2.796927e+06","1262"
"255",2009-04-07," 2.440056e+06","1262"
"256",2010-04-07," 2.907265e+06","1262"
"257",2011-04-07," 2.700540e+06","1262"
"258",2012-04-07," 3.037534e+06","1262"
"259",1990-04-07," 2.626741e+08","1263"
"260",1991-04-07," 2.608879e+08","1263"
"261",1992-04-07," 2.714749e+08","1263"
"262",1993-04-07," 2.445307e+08","1263"
"263",1994-04-07," 2.921018e+08","1263"
"264",1995-04-07," 3.036995e+08","1263"
"265",1996-04-07," 3.171060e+08","1263"
"266",1997-04-07," 3.316127e+08","1263"
"267",1998-04-07," 3.452550e+08","1263"
"268",1999-04-07," 3.338477e+08","1263"
"269",2000-04-07," 3.261210e+08","1263"
"270",2001-04-07," 3.442929e+08","1263"
"271",2002-04-07," 3.643894e+08","1263"
"272",2003-04-07," 3.960122e+08","1263"
"273",2004-04-07," 4.152058e+08","1263"
"274",2005-04-07," 4.229566e+08","1263"
"275",2006-04-07," 4.774107e+08","1263"
"276",2007-04-07," 5.497073e+08","1263"
"277",2008-04-07," 6.453002e+08","1263"
"278",2009-04-07," 6.916061e+08","1263"
"279",2010-04-07," 7.174638e+08","1263"
"280",2011-04-07," 7.340061e+08","1263"
"281",2012-04-07," 7.210773e+08","1263"
"282",1990-04-07," 8.690670e+05","1264"
"283",1991-04-07," 8.877280e+05","1264"
"284",1992-04-07," 8.959510e+05","1264"
"285",1993-04-07," 9.287040e+05","1264"
"286",1994-04-07," 1.020035e+06","1264"
"287",1995-04-07," 9.405370e+05","1264"
"288",1996-04-07," 9.066430e+05","1264"
"289",1997-04-07," 8.811340e+05","1264"
"290",1998-04-07," 8.382320e+05","1264"
"291",1999-04-07," 9.886580e+05","1264"
"292",2000-04-07," 1.156332e+06","1264"
"293",2001-04-07," 1.050360e+06","1264"
"294",2002-04-07," 1.222124e+06","1264"
"295",2003-04-07," 1.229848e+06","1264"
"296",2004-04-07," 1.157562e+06","1264"
"297",2005-04-07," 1.137684e+06","1264"
"298",2006-04-07," 1.345905e+06","1264"
"299",2007-04-07," 1.360301e+06","1264"
"300",2008-04-07," 1.367066e+06","1264"
"301",2009-04-07," 1.511853e+06","1264"
"302",2010-04-07," 1.753311e+06","1264"
"303",2011-04-07," 1.523316e+06","1264"
"304",2012-04-07," 1.519022e+06","1264"
"305",1990-04-07," 2.234467e+06","1265"
"306",1991-04-07," 2.744711e+06","1265"
"307",1992-04-07," 2.797138e+06","1265"
"308",1993-04-07," 2.478325e+06","1265"
"309",1994-04-07," 3.369684e+06","1265"
"310",1995-04-07," 2.946168e+06","1265"
"311",1996-04-07," 2.452036e+06","1265"
"312",1997-04-07," 2.840243e+06","1265"
"313",1998-04-07," 2.191153e+06","1265"
"314",1999-04-07," 2.830915e+06","1265"
"315",2000-04-07," 3.056289e+06","1265"
"316",2001-04-07," 2.453681e+06","1265"
"317",2002-04-07," 3.064228e+06","1265"
"318",2003-04-07," 3.302038e+06","1265"
"319",2004-04-07," 2.967007e+06","1265"
"320",2005-04-07," 3.021641e+06","1265"
"321",2006-04-07," 3.457744e+06","1265"
"322",2007-04-07," 3.169356e+06","1265"
"323",2008-04-07," 3.461194e+06","1265"
"324",2009-04-07," 3.486763e+06","1265"
"325",2010-04-07," 3.158905e+06","1265"
"326",2011-04-07," 3.435366e+06","1265"
"327",2012-04-07," 2.794854e+06","1265"
"328",1990-04-07," 4.454890e+05","1266"
"329",1991-04-07," 4.138310e+05","1266"
"330",1992-04-07," 5.756520e+05","1266"
"331",1993-04-07," 6.557390e+05","1266"
"332",1994-04-07," 5.195410e+05","1266"
"333",1995-04-07," 4.559860e+05","1266"
"334",1996-04-07," 4.766380e+05","1266"
"335",1997-04-07," 5.969520e+05","1266"
"336",1998-04-07," 5.053530e+05","1266"
"337",1999-04-07," 6.295250e+05","1266"
"338",2000-04-07," 5.797270e+05","1266"
"339",2001-04-07," 5.685050e+05","1266"
"340",2002-04-07," 6.703090e+05","1266"
"341",2003-04-07," 6.562000e+05","1266"
"342",2004-04-07," 9.212810e+05","1266"
"343",2005-04-07," 8.894260e+05","1266"
"344",2006-04-07," 9.003810e+05","1266"
"345",2007-04-07," 9.086790e+05","1266"
"346",2008-04-07," 8.510580e+05","1266"
"347",2009-04-07," 8.630790e+05","1266"
"348",2010-04-07," 7.878170e+05","1266"
"349",2011-04-07," 9.519330e+05","1266"
"350",2012-04-07," 8.105500e+05","1266"
"351",1990-04-07," 3.650000e+03","1267"
"352",1991-04-07," 3.303000e+03","1267"
"353",1992-04-07," 3.244000e+03","1267"
"354",1993-04-07," 3.670000e+03","1267"
"355",1994-04-07," 2.304000e+03","1267"
"356",1995-04-07," 2.135000e+03","1267"
"357",1996-04-07," 6.240000e+02","1267"
"358",1997-04-07," 5.680000e+02","1267"
"359",1998-04-07," 8.730000e+02","1267"
