"","data","valor","serie"
"157","17/8/1998","117412.22","324"
"158","24/8/1998","112992.29","324"
"159","31/8/1998","109325.59","324"
"160","7/9/1998","109843.99","324"
"161","14/9/1998","113963.04","324"
"162","21/9/1998","114890.96","324"
"163","28/9/1998","114174.09","324"
"164","5/10/1998","121085.86","324"
"165","12/10/1998","129218.76","324"
"166","19/10/1998","127431.49","324"
"167","26/10/1998","123877.10","324"
"168","2/11/1998","117445.96","324"
"169","9/11/1998","118943.45","324"
"170","16/11/1998","121302.82","324"
"171","23/11/1998","117730.31","324"
"172","30/11/1998","169985.65","324"
"173","7/12/1998","169829.96","324"
"174","14/12/1998","171851.78","324"
"175","21/12/1998","172560.21","324"
"176","28/12/1998","174403.26","324"
"177","4/1/1999","168637.52","324"
"178","11/1/1999","173371.87","324"
"179","18/1/1999","174869.75","324"
"180","25/1/1999","173337.00","324"
"181","1/2/1999","113446.55","324"
"182","8/2/1999","109367.22","324"
"183","15/2/1999","103678.46","324"
"184","22/2/1999","103491.43","324"
"185","1/3/1999","102951.78","324"
"186","8/3/1999","102463.99","324"
"187","15/3/1999","102478.97","324"
"188","22/3/1999","98274.74","324"
"189","29/3/1999","197631.90","324"
"190","5/4/1999","194988.21","324"
"191","12/4/1999","189426.30","324"
"192","19/4/1999","196387.80","324"
"193","26/4/1999","192549.14","324"
"194","3/5/1999","189281.56","324"
"195","10/5/1999","192133.39","324"
"196","17/5/1999","192538.67","324"
"197","24/5/1999","193391.83","324"
"198","31/5/1999","183208.80","324"
"199","7/6/1999","181046.93","324"
"200","14/6/1999","186412.42","324"
"201","21/6/1999","192570.17","324"
"202","28/6/1999","193951.11","324"
"203","5/7/1999","184303.03","324"
"204","12/7/1999","181584.70","324"
"205","19/7/1999","180870.78","324"
"206","26/7/1999","173702.70","324"
"207","28/8/1995","0.00","325"
"208","4/9/1995","0.00","325"
"209","11/9/1995","0.00","325"
"210","18/9/1995","0.00","325"
"211","25/9/1995","0.00","325"
"212","2/10/1995","941.00","325"
"213","9/10/1995","946.00","325"
"214","16/10/1995","952.00","325"
"215","23/10/1995","959.00","325"
"216","30/10/1995","964.00","325"
"217","6/11/1995","970.00","325"
"218","13/11/1995","851.00","325"
"219","20/11/1995","730.00","325"
"220","27/11/1995","588.00","325"
"221","4/12/1995","0.00","325"
"222","11/12/1995","0.00","325"
"223","18/12/1995","0.00","325"
"224","25/12/1995","0.00","325"
