"","x"
"1",94.3324420912058
"2",91.8043556684382
"3",94.4822301695949
"4",93.1585901268549
"5",93.1280788801665
"6",92.6534266705261
"7",93.8943158193169
"8",97.4080246766461
"9",99.1497066509547
"10",99.9552376829096
"11",100.834736762698
"12",101.87969604589
"13",102.410875364614
"14",102.740540966755
"15",101.491832192972
"16",100.20249720293
"17",102.139215129204
"18",105.583023342177
"19",110.926316813353
"20",120.544689887513
"21",108.549017810293
"22",100.121946348696
"23",126.012157352045
"24",135.097648356074
"25",122.415865845614
"26",129.561162206192
"27",120.474037758246
"28",119.796502248652
"29",121.276833510179
"30",119.554310994397
"31",127.617875516264
"32",137.153648447332
"33",123.807591163696
"34",120.363810673719
"35",113.89778220401
"36",114.235572876185
"37",113.205634433682
"38",110.491587516065
"39",106.392356683523
"40",101.012504399564
"41",111.949211387526
"42",97.0619389639677
"43",99.9257494821408
"44",102.943406772716
"45",98.0158183040363
"46",96.4855288783297
"47",93.5120576901786
"48",91.6653889040373
"49",91.546396286138
"50",93.4458260983494
"51",91.7878027931216
"52",90.4026466011917
"53",87.7774674511086
"54",89.2467621064345
"55",88.7300545265941
"56",95.1333558446475
"57",87.5602473947586
"58",88.6841637658905
"59",87.145133078562
"60",116.424740354142
"61",114.179650653515
"62",111.794344043667
"63",115.33256967814
"64",107.001621355413
"65",105.470409281253
"66",104.219925179489
"67",103.135454030389
"68",97.3471645464876
"69",92.9809180711116
"70",96.6339431993044
"71",105.476104218212
"72",108.106822041477
"73",108.815642772768
"74",110.907745169308
"75",108.642780273824
"76",101.273501166254
"77",100.642532630204
"78",96.1885147772231
"79",95.143303329542
"80",90.6451746690692
"81",87.1262883879171
"82",89.6439948837518
"83",96.1211753647497
"84",105.475874769182
"85",109.032262776551
"86",107.044491102389
"87",105.16843322853
"88",96.35103281413
"89",103.415458842265
"90",97.719173126235
"91",89.8833765811908
"92",89.4623182755666
"93",89.366677809602
"94",90.9863322928495
"95",100.55608791206
"96",110.124771207601
"97",112.117920051105
"98",111.33857205971
"99",113.350960124594
"100",109.533925847702
"101",101.623259257108
"102",96.8956743607715
"103",98.145362595565
"104",98.0326366532541
"105",91.9058002443688
"106",92.8536326054997
"107",98.4129356101619
"108",104.892144816916
"109",108.99921509368
"110",107.06908559634
"111",105.284281563839
"112",94.4957704961775
"113",94.5546484217032
"114",92.2767664219344
"115",91.619314958559
"116",93.7903421962479
"117",89.5698617687423
"118",92.464672987522
"119",94.2143492257219
"120",99.8705295402381
"121",104.908648743355
"122",101.389399255163
"123",97.1747083303659
"124",92.6825689078154
"125",89.7137404657072
"126",89.2930346320173
"127",91.3942962548259
"128",88.9170838554323
"129",88.3510597849924
"130",88.7570651938578
"131",93.2298880135337
"132",99.1297777005023
"133",100.554224177391
"134",96.1258805378611
"135",93.3405012465642
"136",90.2624356152013
"137",87.8906137235442
"138",89.5933339322411
"139",89.8826278770308
"140",89.0651673770579
"141",86.2579284409072
"142",85.3139089867219
"143",88.0132631074045
"144",94.0655761315825
"145",94.083393660073
"146",92.2215075987486
"147",90.9834660097482
"148",88.616152516626
"149",91.9120326909892
"150",88.3391383551414
"151",89.7877003403103
"152",93.3212400064162
"153",91.4598766346538
"154",89.1867140629812
"155",95.8094251585027
"156",100.350701102394
"157",103.28539349684
"158",100.03723815319
"159",97.2278718608759
"160",93.617155371298
"161",98.2356972080796
"162",96.8170721558999
"163",97.6858720859981
"164",92.39325729243
"165",91.9146241476313
"166",93.3529540755334
"167",95.9415725242455
"168",98.4204903892474
"169",100.542076356608
"170",99.5470586631349
"171",101.481508349554
"172",100.099396998736
"173",98.791585365661
"174",97.4808321657909
"175",97.6470464036593
"176",97.1240901530314
"177",95.95992870038
"178",97.266703819659
"179",99.2830151310781
"180",102.020551266933
"181",104.040644217969
"182",105.744274271035
"183",107.867471580237
"184",105.610461710953
"185",105.257167524949
