"","x"
"1",85.5102921075152
"2",83.5950364476249
"3",83.5017668272189
"4",91.3911683281382
"5",83.5170591319446
"6",82.3742185824039
"7",80.6052161757776
"8",82.7291795382664
"9",86.5969717627797
"10",88.7646510330759
"11",82.2988627064489
"12",87.6357654361834
"13",86.9483478006514
"14",87.239141320109
"15",90.2712990679645
"16",85.6941865457648
"17",83.6509367900018
"18",86.3394605163216
"19",85.4755891872975
"20",88.6540655324793
"21",95.900897881132
"22",91.2353916457014
"23",99.3412838295668
"24",98.4403793421023
"25",95.8736991582153
"26",97.1111609309592
"27",96.7216912678931
"28",95.7432323050818
"29",96.4598484509845
"30",101.165020763321
"31",113.218448185017
"32",112.213521940977
"33",110.965140684521
"34",125.150927323462
"35",132.564739839768
"36",120.341599412535
"37",121.634922792673
"38",113.644196892061
"39",110.522427154701
"40",109.75423468554
"41",106.879147950968
"42",108.665710554233
"43",113.510664580215
"44",106.087326065851
"45",107.434336232647
"46",101.705112840952
"47",101.624735218398
"48",100.900946079747
"49",98.4627242731004
"50",96.7694606527816
"51",95.6615560755621
"52",100.899351207829
"53",96.6058664465546
"54",96.86772437619
"55",96.7649160857962
"56",93.0914460399243
"57",93.1828638303586
"58",89.7156449766623
"59",89.3866799018696
"60",89.5309540650754
"61",89.0132729243378
"62",88.4390025936443
"63",92.0001914914627
"64",90.3553988070268
"65",89.1739477589052
"66",87.4411972620103
"67",90.8087723186509
"68",86.9685359391524
"69",86.5968935493019
"70",90.1256401961283
"71",102.318747400921
"72",98.916952550887
"73",96.3165589568349
"74",103.6870178928
"75",96.4681453544288
"76",95.2677508277408
"77",94.9676325942882
"78",102.448473697997
"79",96.1248164292814
"80",89.3498924212651
"81",90.5177118255784
"82",95.7076147914822
"83",96.9292372985522
"84",95.7380947838269
"85",97.1394578285348
"86",97.8241278633357
"87",94.0010882020151
"88",95.8963747487848
"89",93.4475801427991
"90",92.0668232946008
"91",90.4908631989593
"92",95.1153350743302
"93",98.7955917139166
"94",104.108122590072
"95",101.597511344707
"96",105.31497849087
"97",109.27291173646
"98",112.114848171599
"99",106.471708789193
"100",105.284448440316
"101",98.6768695994744
"102",96.7534003725819
"103",102.159629038342
"104",96.6810294900891
"105",105.70740080401
"106",131.144251428469
"107",143.891129607465
"108",124.825991346116
"109",122.96635052135
"110",122.44028788932
"111",123.066708193781
"112",116.36325832634
"113",107.434951180358
"114",107.135342026562
"115",109.536018695287
"116",107.447870778947
"117",101.888283897766
"118",109.483381806444
"119",114.463237603495
"120",109.041742189852
"121",106.053007444954
"122",110.601001965286
"123",100.18060531841
"124",96.1732717399929
"125",104.021085107555
"126",106.086108610022
"127",98.6436274531286
"128",100.2073877754
"129",97.6182649979998
"130",96.1416772857112
"131",99.2807867446374
"132",106.288818848974
"133",99.9971860171967
"134",100.190666593466
"135",98.198208135617
"136",92.1556068418046
"137",95.6604028657449
"138",93.6945645801458
"139",93.7969486687843
"140",103.57905851836
"141",105.006679005046
"142",104.708481275079
"143",114.241020886326
"144",104.578450825877
"145",97.7346032349371
"146",99.1841983458357
"147",91.4064749638118
"148",92.8260724839429
"149",94.5721560960421
"150",109.670168449151
"151",98.7245475281004
"152",95.9926269853186
"153",94.1305615171655
"154",99.8358746326715
"155",97.276773475436
"156",96.3908599149519
"157",97.0994061020178
"158",93.1881736488614
"159",94.6807953077209
"160",96.8187450018653
"161",93.1325066885348
"162",93.7179579733667
"163",105.894260926809
"164",98.5519110040104
"165",95.6979971447962
"166",98.2626190170775
"167",100.03818984641
"168",99.6568341033017
"169",95.877549225728
"170",99.8055273480063
"171",95.9399326527396
"172",101.894996692268
"173",95.1922824367091
"174",96.5946855155354
"175",96.9721895508244
"176",100.233318218569
"177",102.66033052882
"178",105.587230962239
"179",107.978665091584
"180",102.251516910599
"181",104.207475048098
"182",101.163107034928
"183",107.869128958408
"184",101.745854526672
"185",101.114932714732
"186",102.944525935423
"187",100.141599694934
"188",109.179904257428
"189",111.401971196627
"190",107.862039617361
"191",105.821266853434
"192",108.509092736703
"193",107.508194550779
"194",111.592470115056
"195",111.105260202537
"196",114.984166653663
